DEST_NAME,CLIENT,QUEUE_NAME,UNIT_ID
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002353,00505684390C1FE09380528CBE4E2832
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002365,00505684390C1FE092EB646207CE8832
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002366,00505684390C1FE0938013876D62E832
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002375,00505684390C1FE0938032CEDD7E8832
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002399,00505684390C1FE092EB8BDE87E90832
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002403,00505684390C1FE093806187277E6832
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002404,00505684390C1FE09393CF1358824832
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002485,00505684390C1FE093C61643BAB04832
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002486,00505684390C1FE094AB9993B7CF0832
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002488,00505684390C1FE093C617BDC9E54832
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002490,00505684390C1FE093ACDB57201F0832
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002496,00505684390C1FE093ACE541BD884832
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002539,00505684390C1FE097B4EC98F5E26832
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002545,00505684390C1FE0AAB0E5573DD68865
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002548,00505684390C1FE097B4ECBDCE2AE832
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002618,00505684390C1FE092EB8C9D1D08A832
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002620,00505684390C1FE092EAC2D014356832
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002631,00505684390C1FE097B4FBF2C027A832
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002635,00505684390C1FE097B3B1BC24F86832
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002648,00505684390C1FE097B4ECD2E661A832
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002649,00505684390C1FE097B4ED1E97F82832
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002651,00505684390C1FE097B4ED1E97FFA832
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002652,00505684390C1FE097B4ED5B543DA832
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002653,00505684390C1FE097B4ED8155462832
CMM_MTM_SLS,083,CMM_VLOGP_BGRFC_0052002655,00505684390C1FE097B4EDCC16E7A832
